zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
97435,3.0,0.0,39.0,0.0,1186.0,0.0
97437,4.0,0.0,21.0,0.0,2960.0,0.0
97438,2.0,0.0,15.0,0.0,472.0,0.0
97439,37.0,11.0,458.0,48.0,21887.0,1810.0
97440,10.0,0.0,38.0,0.0,4637.0,0.0
97442,2.0,1.0,6.0,1.0,129.0,100.0
97443,2.0,1.0,33.0,1.0,871.0,250.0
97444,13.0,3.0,177.0,31.0,5941.0,448.0
97446,1.0,0.0,9.0,0.0,237.0,0.0
97447,1.0,0.0,1.0,0.0,5.0,0.0
97448,6.0,0.0,28.0,0.0,1196.0,0.0
97449,2.0,0.0,33.0,0.0,929.0,0.0
97450,4.0,0.0,94.0,0.0,2598.0,0.0
97452,7.0,1.0,52.0,1.0,2836.0,100.0
97453,4.0,0.0,34.0,0.0,1194.0,0.0
97454,3.0,1.0,16.0,2.0,708.0,500.0
97455,7.0,0.0,111.0,0.0,2979.0,0.0
97456,3.0,0.0,14.0,0.0,1186.0,0.0
97457,5.0,0.0,44.0,0.0,2829.0,0.0
97458,2.0,0.0,11.0,0.0,528.0,0.0
97459,29.0,5.0,312.0,15.0,10089.0,428.0
97461,1.0,0.0,5.0,0.0,122.0,0.0
97462,5.0,1.0,37.0,4.0,3230.0,73.0
97463,4.0,1.0,17.0,2.0,391.0,42.0
97464,1.0,0.0,1.0,0.0,100.0,0.0
97465,10.0,1.0,54.0,2.0,1679.0,138.0
97467,5.0,0.0,47.0,0.0,4617.0,0.0
97469,0.0,1.0,0.0,2.0,0.0,38.0
97470,14.0,6.0,242.0,14.0,10936.0,5470.0
97471,34.0,7.0,133.0,35.0,10034.0,3402.0
97473,1.0,0.0,1.0,0.0,100.0,0.0
97475,4.0,0.0,25.0,0.0,871.0,0.0
97476,0.0,1.0,0.0,4.0,0.0,70.0
97477,51.0,5.0,487.0,74.0,24493.0,1425.0
