,zip,CAND,TRANSACTION_AMT
402,01270,B.S.,4630
403,01277,B.S.,100
404,01280,B.S.,654
405,01299,B.S.,1127
406,01301,B.S.,39385
407,01301,H.C.,1595
408,01302,B.S.,525
409,01302,H.C.,151
410,01309,B.S.,1000
411,01330,B.S.,29335
412,01330,H.C.,1206
413,01331,B.S.,2517
414,01331,H.C.,250
415,01337,B.S.,1831
416,01337,H.C.,2400
417,01338,B.S.,312
418,01338,H.C.,247
419,01339,B.S.,4991
420,01339,H.C.,111
421,01340,B.S.,4902
422,01341,B.S.,6599
423,01341,H.C.,2938
424,01342,B.S.,7904
425,01342,H.C.,1300
426,01344,B.S.,7235
427,01344,H.C.,75
428,01346,B.S.,1265
429,01347,B.S.,981
430,01349,B.S.,1095
431,01349,H.C.,158
432,01351,B.S.,22355
433,01351,H.C.,1446
434,01354,B.S.,6289
435,01355,B.S.,994
436,01356,B.S.,105
437,01360,B.S.,13561
438,01360,H.C.,1066
439,01364,B.S.,5123
440,01364,H.C.,775
441,01366,B.S.,14869
442,01366,H.C.,400
443,01367,B.S.,500
444,01368,B.S.,485
445,01370,B.S.,18795
446,01370,H.C.,2650
447,01373,B.S.,8802
448,01373,H.C.,994
449,01375,B.S.,3726
450,01375,H.C.,2315
451,01376,B.S.,5495
452,01378,B.S.,2919
453,01379,B.S.,4876
454,01379,H.C.,1100
455,01415,B.S.,20
456,01420,B.S.,15826
457,01420,H.C.,1019
458,01430,B.S.,9045
459,01430,H.C.,279
460,01431,B.S.,1765
461,01431,H.C.,125
462,01432,B.S.,5455
463,01434,B.S.,190
464,01436,B.S.,446
465,01436,H.C.,200
466,01440,B.S.,12225
467,01440,H.C.,152
468,01446,B.S.,325
469,01450,B.S.,15421
470,01450,H.C.,2246
471,01451,B.S.,27456
472,01451,H.C.,10178
473,01452,B.S.,987
474,01452,H.C.,332
475,01453,B.S.,18709
476,01453,H.C.,5478
477,01454,B.S.,400
478,01456,B.S.,500
479,01460,B.S.,12891
480,01460,H.C.,5176
481,01462,B.S.,3773
482,01462,H.C.,855
483,01463,B.S.,3068
484,01463,H.C.,346
485,01464,B.S.,942
486,01464,H.C.,70
487,01467,B.S.,600
488,01467,H.C.,2700
489,01468,B.S.,2594
490,01468,H.C.,58
491,01469,B.S.,5130
492,01469,H.C.,141
493,01472,H.C.,100
494,01473,B.S.,2273
495,01473,H.C.,38
496,01474,B.S.,407
497,01475,B.S.,3011
498,01501,B.S.,4508
499,01501,H.C.,185
500,01503,B.S.,841
501,01503,H.C.,903
502,01504,B.S.,621
503,01504,H.C.,104
504,01505,B.S.,6694
505,01505,H.C.,250
506,01506,B.S.,866
507,01506,H.C.,208
508,01507,B.S.,8328
509,01507,H.C.,625
510,01508,B.S.,20
511,01510,B.S.,7417
512,01510,H.C.,4734
513,01515,B.S.,200
514,01516,B.S.,5907
515,01518,B.S.,2889
516,01518,H.C.,5400
517,01519,B.S.,16576
518,01519,H.C.,188
519,01520,B.S.,22086
520,01520,H.C.,2950
521,01521,B.S.,767
522,01522,B.S.,1601
523,01523,B.S.,4090
524,01523,H.C.,2100
525,01524,B.S.,3605
526,01524,H.C.,100
527,01527,B.S.,7888
528,01527,H.C.,197
529,01529,B.S.,471
530,01531,B.S.,9095
531,01532,B.S.,13258
532,01532,H.C.,4560
533,01534,B.S.,3518
534,01534,H.C.,50
535,01535,B.S.,7351
536,01536,B.S.,1475
537,01536,H.C.,200
538,01537,B.S.,6445
539,01540,B.S.,4990
540,01540,H.C.,125
541,01541,B.S.,7830
542,01541,H.C.,1385
543,01542,B.S.,2114
544,01542,H.C.,600
545,01543,B.S.,8466
546,01543,H.C.,50
547,01545,B.S.,19886
548,01545,H.C.,28649
549,01550,B.S.,4256
550,01550,H.C.,500
551,01560,B.S.,3707
552,01560,H.C.,45
553,01561,B.S.,100
554,01562,B.S.,1637
555,01562,H.C.,889
556,01564,B.S.,10971
557,01564,H.C.,188
558,01566,B.S.,11179
559,01566,H.C.,675
560,01568,B.S.,3139
561,01568,H.C.,7310
562,01569,B.S.,2842
563,01569,H.C.,1750
564,01570,B.S.,8054
565,01570,H.C.,326
566,01571,B.S.,2937
567,01571,H.C.,135
568,01581,B.S.,18774
569,01581,H.C.,4118
570,01583,B.S.,8342
571,01583,H.C.,74
572,01585,B.S.,252
573,01585,H.C.,225
574,01588,B.S.,4521
575,01588,H.C.,6050
576,01590,B.S.,1613
577,01590,H.C.,1955
578,01602,B.S.,21506
579,01602,H.C.,6379
580,01603,B.S.,4738
581,01603,H.C.,2142
582,01604,B.S.,3881
583,01604,H.C.,1100
584,01605,B.S.,1926
585,01605,H.C.,509
586,01606,B.S.,20776
587,01606,H.C.,1556
588,01607,B.S.,2178
589,01607,H.C.,325
590,01608,B.S.,609
591,01608,H.C.,250
592,01609,B.S.,18597
593,01609,H.C.,4219
594,01610,B.S.,5387
595,01610,H.C.,1639
596,01611,B.S.,250
597,01611,H.C.,1000
598,01612,B.S.,3614
599,01612,H.C.,350
600,01613,B.S.,1023
601,01613,H.C.,2700
602,01630,B.S.,250
603,01652,B.S.,580
604,01701,B.S.,29515
605,01701,H.C.,22081
606,01702,B.S.,15129
607,01702,H.C.,13479
608,01703,H.C.,2500
609,01705,H.C.,98
610,01718,B.S.,154
611,01719,B.S.,11269
612,01719,H.C.,499
613,01720,B.S.,48290
614,01720,H.C.,23179
615,01721,B.S.,11375
616,01721,H.C.,2105
617,01722,B.S.,130
618,01723,B.S.,55
619,01730,B.S.,31658
620,01730,H.C.,9965
621,01731,B.S.,528
622,01740,B.S.,13513
623,01740,H.C.,2450
624,01741,B.S.,30890
625,01741,H.C.,17337
626,01742,B.S.,110763
627,01742,H.C.,114603
628,01745,B.S.,100
629,01746,B.S.,5736
630,01746,H.C.,5559
631,01747,B.S.,2771
632,01747,H.C.,2535
633,01748,B.S.,9747
634,01748,H.C.,10259
635,01749,B.S.,30057
636,01749,H.C.,1838
637,01752,B.S.,20667
638,01752,H.C.,3134
639,01754,B.S.,18902
640,01754,H.C.,220
641,01756,B.S.,8954
642,01757,B.S.,15227
643,01757,H.C.,114
644,01759,B.S.,1500
645,01760,B.S.,42108
646,01760,H.C.,15160
647,01770,B.S.,12273
648,01770,H.C.,8135
649,01772,B.S.,5854
650,01772,H.C.,19235
651,01773,B.S.,70242
652,01773,H.C.,48153
653,01775,B.S.,15806
654,01775,H.C.,4004
655,01776,B.S.,34013
656,01776,H.C.,20376
657,01778,B.S.,52794
658,01778,H.C.,57222
659,01801,B.S.,18844
660,01801,H.C.,2019
661,01803,B.S.,16466
662,01803,H.C.,3538
663,01807,B.S.,200
664,01810,B.S.,40732
665,01810,H.C.,28469
666,01821,B.S.,16314
667,01821,H.C.,2429
668,01824,B.S.,20736
669,01824,H.C.,7042
670,01826,B.S.,8468
671,01826,H.C.,512
672,01827,B.S.,4235
673,01830,B.S.,16749
674,01830,H.C.,386
675,01832,B.S.,6868
676,01832,H.C.,532
677,01833,B.S.,13488
678,01833,H.C.,2820
679,01834,B.S.,5799
680,01834,H.C.,25
681,01835,B.S.,6083
682,01835,H.C.,800
683,01840,B.S.,1621
684,01841,B.S.,5866
685,01841,H.C.,569
686,01843,B.S.,1738
687,01843,H.C.,385
688,01844,B.S.,9782
689,01844,H.C.,2140
690,01845,B.S.,26885
691,01845,H.C.,9808
692,01847,B.S.,600
693,01850,B.S.,7988
694,01850,H.C.,284
695,01851,B.S.,6609
696,01851,H.C.,260
697,01852,B.S.,21827
698,01852,H.C.,11586
699,01853,B.S.,24
700,01854,B.S.,12419
701,01854,H.C.,1293
702,01860,B.S.,5575
703,01860,H.C.,3395
704,01862,B.S.,3558
705,01862,H.C.,225
706,01863,B.S.,12730
707,01863,H.C.,800
708,01864,B.S.,22653
709,01864,H.C.,861
710,01866,B.S.,100
711,01867,B.S.,14703
712,01867,H.C.,2882
713,01876,B.S.,5092
714,01876,H.C.,8635
715,01879,B.S.,4856
716,01879,H.C.,110
717,01880,B.S.,23437
718,01880,H.C.,7727
719,01885,B.S.,726
720,01886,B.S.,34932
721,01886,H.C.,10464
722,01887,B.S.,10238
723,01887,H.C.,2452
724,01890,B.S.,36242
725,01890,H.C.,73609
726,01901,B.S.,120
727,01902,B.S.,7565
728,01902,H.C.,1492
729,01903,H.C.,198
730,01904,B.S.,7208
731,01904,H.C.,601
732,01905,B.S.,10819
733,01905,H.C.,149
734,01906,B.S.,3531
735,01906,H.C.,3861
736,01907,B.S.,15255
737,01907,H.C.,17803
738,01908,B.S.,14914
739,01908,H.C.,5700
740,01913,B.S.,10402
741,01913,H.C.,3539
742,01915,B.S.,38301
743,01915,H.C.,10474
744,01921,B.S.,11764
745,01921,H.C.,5267
746,01922,B.S.,348
747,01922,H.C.,1500
748,01923,B.S.,10283
749,01923,H.C.,12814
750,01929,B.S.,12530
751,01929,H.C.,900
752,01930,B.S.,39318
753,01930,H.C.,20588
754,01931,B.S.,5143
755,01931,H.C.,300
756,01936,H.C.,450
757,01938,B.S.,30606
758,01938,H.C.,7240
759,01940,B.S.,1774
760,01940,H.C.,3769
761,01944,B.S.,30003
762,01944,H.C.,25146
